iter	Passed	Remaining
0	16	1610
1	29	1466
2	43	1407
3	57	1372
4	70	1333
5	83	1306
6	96	1284
7	110	1268
8	123	1251
9	137	1241
10	150	1219
11	163	1198
12	176	1179
13	190	1167
14	204	1157
15	217	1140
16	230	1125
17	244	1113
18	257	1095
19	269	1078
20	282	1064
21	295	1047
22	309	1035
23	322	1021
24	335	1007
25	348	991
26	361	976
27	374	963
28	387	947
29	400	934
30	413	919
31	426	906
32	439	891
33	452	877
34	466	866
35	479	852
36	491	837
37	504	823
38	517	810
39	530	795
40	543	782
41	557	769
42	570	756
43	582	741
44	594	727
45	608	714
46	621	700
47	633	686
48	646	672
49	659	659
50	673	647
51	686	634
52	699	620
53	713	607
54	726	594
55	738	580
56	751	566
57	764	553
58	777	540
59	790	527
60	803	514
61	817	500
62	830	487
63	844	475
64	857	461
65	870	448
66	882	434
67	896	422
68	911	409
69	924	396
70	938	383
71	950	369
72	963	356
73	975	342
74	989	329
75	1001	316
76	1014	303
77	1027	289
78	1040	276
79	1053	263
80	1066	250
81	1079	237
82	1092	223
83	1104	210
84	1117	197
85	1129	183
86	1142	170
87	1155	157
88	1168	144
89	1180	131
90	1194	118
91	1207	105
92	1220	91
93	1233	78
94	1247	65
95	1262	52
96	1277	39
97	1294	26
98	1308	13
99	1322	0
