iter	Passed	Remaining
0	23	2310
1	42	2073
2	61	1987
3	81	1953
4	100	1909
5	119	1867
6	138	1837
7	157	1809
8	176	1783
9	195	1755
10	214	1738
11	235	1724
12	253	1698
13	272	1673
14	291	1649
15	310	1632
16	329	1609
17	350	1596
18	370	1577
19	389	1559
20	409	1539
21	427	1515
22	446	1494
23	465	1472
24	486	1458
25	505	1439
26	526	1422
27	545	1401
28	564	1382
29	583	1361
30	602	1342
31	623	1323
32	642	1304
33	661	1284
34	679	1262
35	698	1242
36	718	1223
37	738	1204
38	757	1184
39	778	1167
40	797	1147
41	817	1128
42	828	1097
43	848	1079
44	868	1061
45	888	1042
46	906	1022
47	926	1003
48	945	984
49	966	966
50	986	947
51	1005	928
52	1024	908
53	1043	889
54	1062	869
55	1080	848
56	1099	829
57	1118	809
58	1138	791
59	1157	771
60	1176	752
61	1197	733
62	1216	714
63	1235	695
64	1255	676
65	1274	656
66	1292	636
67	1311	617
68	1329	597
69	1348	578
70	1367	558
71	1388	539
72	1407	520
73	1426	501
74	1445	481
75	1463	462
76	1482	442
77	1501	423
78	1520	404
79	1539	384
80	1557	365
81	1576	345
82	1594	326
83	1613	307
84	1632	288
85	1651	268
86	1670	249
87	1690	230
88	1709	211
89	1729	192
90	1748	172
91	1767	153
92	1786	134
93	1804	115
94	1823	95
95	1842	76
96	1861	57
97	1879	38
98	1899	19
99	1918	0
